,Star Name
152,SDSS J000013.54+255418.6 [de]
153,SDSS J000013.54+255418.6 [de]
154,SDSS J000013.54+255418.6 [de]
155,SDSS J000013.54+255418.6 [de]
156,SDSS J000013.54+255418.6 [de]
157,SDSS J000013.54+255418.6 [de]
158,SDSS J000013.54+255418.6 [de]
159,SDSS J000013.54+255418.6 [de]
160,SDSS J000013.54+255418.6 [de]
161,SDSS J000013.54+255418.6 [de]
162,SDSS J000013.54+255418.6 [de]
163,SDSS J000013.54+255418.6 [de]
164,SDSS J000013.54+255418.6 [de]
165,SDSS J000013.54+255418.6 [de]
166,SDSS J000013.54+255418.6 [de]
167,SDSS J000013.54+255418.6 [de]
168,SDSS J000013.54+255418.6 [de]
169,SDSS J000013.54+255418.6 [de]
170,SDSS J000013.54+255418.6 [de]
171,SDSS J000013.54+255418.6 [de]
172,SDSS J000013.54+255418.6 [de]
173,SDSS J000013.54+255418.6 [de]
174,SDSS J000013.54+255418.6 [de]
175,SDSS J000013.54+255418.6 [de]
176,SDSS J000013.54+255418.6 [de]
177,SDSS J000013.54+255418.6 [de]
178,SDSS J000013.54+255418.6 [de]
179,SDSS J000013.54+255418.6 [de]
180,SDSS J000013.54+255418.6 [de]
181,SDSS J000013.54+255418.6 [de]
182,SDSS J000013.54+255418.6 [de]
183,SDSS J000013.54+255418.6 [de]
184,SDSS J000013.54+255418.6 [de]
185,SDSS J000013.54+255418.6 [de]
186,SDSS J000013.54+255418.6 [de]
187,SDSS J000013.54+255418.6 [de]
188,SDSS J000013.54+255418.6 [de]
189,SDSS J000013.54+255418.6 [de]
190,SDSS J000013.54+255418.6 [de]
191,SDSS J000013.54+255418.6 [de]
192,SDSS J000013.54+255418.6 [de]
193,SDSS J000013.54+255418.6 [de]
194,SDSS J000013.54+255418.6 [de]
195,SDSS J000013.54+255418.6 [de]
196,SDSS J000013.54+255418.6 [de]
197,SDSS J000013.54+255418.6 [de]
198,SDSS J000013.54+255418.6 [de]
199,SDSS J000013.54+255418.6 [de]
200,SDSS J000013.54+255418.6 [de]
201,SDSS J000013.54+255418.6 [de]
202,SDSS J000013.54+255418.6 [de]
203,SDSS J000013.54+255418.6 [de]
204,SDSS J000013.54+255418.6 [de]
205,SDSS J000013.54+255418.6 [de]
206,SDSS J000013.54+255418.6 [de]
207,SDSS J000013.54+255418.6 [de]
208,SDSS J000013.54+255418.6 [de]
209,SDSS J000013.54+255418.6 [de]
210,SDSS J000013.54+255418.6 [de]
211,SDSS J000013.54+255418.6 [de]
212,SDSS J000013.54+255418.6 [de]
213,SDSS J000013.54+255418.6 [de]
214,SDSS J000013.54+255418.6 [de]
215,SDSS J000013.54+255418.6 [de]
216,SDSS J000013.54+255418.6 [de]
217,SDSS J000013.54+255418.6 [de]
218,SDSS J000013.54+255418.6 [de]
219,SDSS J000013.54+255418.6 [de]
220,SDSS J000013.54+255418.6 [de]
221,SDSS J000013.54+255418.6 [de]
222,SDSS J000013.54+255418.6 [de]
223,SDSS J000013.54+255418.6 [de]
224,SDSS J000013.54+255418.6 [de]
225,SDSS J000013.54+255418.6 [de]
226,SDSS J000013.54+255418.6 [de]
227,SDSS J000013.54+255418.6 [de]
228,SDSS J000013.54+255418.6 [de]
229,SDSS J000013.54+255418.6 [de]
230,SDSS J000013.54+255418.6 [de]
231,SDSS J000013.54+255418.6 [de]
232,SDSS J000013.54+255418.6 [de]
233,SDSS J000013.54+255418.6 [de]
234,SDSS J000013.54+255418.6 [de]
235,SDSS J000013.54+255418.6 [de]
236,SDSS J000013.54+255418.6 [de]
237,SDSS J000013.54+255418.6 [de]
238,SDSS J000013.54+255418.6 [de]
239,SDSS J000013.54+255418.6 [de]
240,SDSS J000013.54+255418.6 [de]
241,SDSS J000013.54+255418.6 [de]
242,SDSS J000013.54+255418.6 [de]
243,SDSS J000013.54+255418.6 [de]
244,SDSS J000013.54+255418.6 [de]
245,SDSS J000013.54+255418.6 [de]
246,SDSS J000013.54+255418.6 [de]
247,SDSS J000013.54+255418.6 [de]
248,SDSS J000013.54+255418.6 [de]
249,SDSS J000013.54+255418.6 [de]
250,SDSS J000013.54+255418.6 [de]
251,SDSS J000013.54+255418.6 [de]
252,SDSS J000013.54+255418.6 [de]
253,SDSS J000013.54+255418.6 [de]
254,SDSS J000013.54+255418.6 [de]
255,SDSS J000013.54+255418.6 [de]
256,SDSS J000013.54+255418.6 [de]
257,SDSS J000013.54+255418.6 [de]
258,SDSS J000013.54+255418.6 [de]
259,SDSS J000013.54+255418.6 [de]
260,SDSS J000013.54+255418.6 [de]
261,SDSS J000013.54+255418.6 [de]
262,SDSS J000013.54+255418.6 [de]
263,SDSS J000013.54+255418.6 [de]
264,SDSS J000013.54+255418.6 [de]
265,SDSS J000013.54+255418.6 [de]
266,SDSS J000013.54+255418.6 [de]
267,SDSS J000013.54+255418.6 [de]
268,SDSS J000013.54+255418.6 [de]
269,SDSS J000013.54+255418.6 [de]
270,SDSS J000013.54+255418.6 [de]
271,SDSS J000013.54+255418.6 [de]
272,SDSS J000013.54+255418.6 [de]
273,SDSS J000013.54+255418.6 [de]
274,SDSS J000013.54+255418.6 [de]
275,SDSS J000013.54+255418.6 [de]
276,SDSS J000013.54+255418.6 [de]
277,SDSS J000013.54+255418.6 [de]
278,SDSS J000013.54+255418.6 [de]
279,SDSS J000013.54+255418.6 [de]
280,SDSS J000013.54+255418.6 [de]
281,SDSS J000013.54+255418.6 [de]
282,SDSS J000013.54+255418.6 [de]
283,SDSS J000013.54+255418.6 [de]
284,SDSS J000013.54+255418.6 [de]
285,SDSS J000013.54+255418.6 [de]
286,SDSS J000013.54+255418.6 [de]
287,SDSS J000013.54+255418.6 [de]
288,SDSS J000013.54+255418.6 [de]
289,SDSS J000013.54+255418.6 [de]
290,SDSS J000013.54+255418.6 [de]
291,SDSS J000013.54+255418.6 [de]
292,SDSS J000013.54+255418.6 [de]
293,SDSS J000013.54+255418.6 [de]
294,SDSS J000013.54+255418.6 [de]
295,SDSS J000013.54+255418.6 [de]
296,SDSS J000013.54+255418.6 [de]
297,SDSS J000013.54+255418.6 [de]
298,SDSS J000013.54+255418.6 [de]
299,SDSS J000013.54+255418.6 [de]
300,SDSS J000013.54+255418.6 [de]
301,SDSS J000013.54+255418.6 [de]
302,SDSS J000013.54+255418.6 [de]
303,SDSS J000013.54+255418.6 [de]
304,SDSS J000013.54+255418.6 [de]
305,SDSS J000013.54+255418.6 [de]
306,SDSS J000013.54+255418.6 [de]
307,SDSS J000013.54+255418.6 [de]
308,SDSS J000013.54+255418.6 [de]
309,SDSS J000013.54+255418.6 [de]
310,SDSS J000013.54+255418.6 [de]
311,SDSS J000013.54+255418.6 [de]
312,SDSS J000013.54+255418.6 [de]
313,SDSS J000013.54+255418.6 [de]
314,SDSS J000013.54+255418.6 [de]
315,SDSS J000013.54+255418.6 [de]
316,SDSS J000013.54+255418.6 [de]
317,SDSS J000013.54+255418.6 [de]
318,SDSS J000013.54+255418.6 [de]
319,SDSS J000013.54+255418.6 [de]
320,SDSS J000013.54+255418.6 [de]
321,SDSS J000013.54+255418.6 [de]
322,SDSS J000013.54+255418.6 [de]
323,SDSS J000013.54+255418.6 [de]
324,SDSS J000013.54+255418.6 [de]
325,SDSS J000013.54+255418.6 [de]
326,SDSS J000013.54+255418.6 [de]
327,SDSS J000013.54+255418.6 [de]
328,SDSS J000013.54+255418.6 [de]
329,SDSS J000013.54+255418.6 [de]
330,SDSS J000013.54+255418.6 [de]
331,SDSS J000013.54+255418.6 [de]
332,SDSS J000013.54+255418.6 [de]
333,SDSS J000013.54+255418.6 [de]
334,SDSS J000013.54+255418.6 [de]
335,SDSS J000013.54+255418.6 [de]
336,SDSS J000013.54+255418.6 [de]
337,SDSS J000013.54+255418.6 [de]
338,SDSS J000013.54+255418.6 [de]
339,SDSS J000013.54+255418.6 [de]
340,SDSS J000013.54+255418.6 [de]
341,SDSS J000013.54+255418.6 [de]
342,SDSS J000013.54+255418.6 [de]
343,SDSS J000013.54+255418.6 [de]
344,SDSS J000013.54+255418.6 [de]
345,SDSS J000013.54+255418.6 [de]
346,SDSS J000013.54+255418.6 [de]
347,SDSS J000013.54+255418.6 [de]
348,SDSS J000013.54+255418.6 [de]
349,SDSS J000013.54+255418.6 [de]
350,SDSS J000013.54+255418.6 [de]
351,SDSS J000013.54+255418.6 [de]
352,SDSS J000013.54+255418.6 [de]
353,SDSS J000013.54+255418.6 [de]
354,SDSS J000013.54+255418.6 [de]
355,SDSS J000013.54+255418.6 [de]
356,SDSS J000013.54+255418.6 [de]
357,SDSS J000013.54+255418.6 [de]
358,SDSS J000013.54+255418.6 [de]
359,SDSS J000013.54+255418.6 [de]
360,SDSS J000013.54+255418.6 [de]
361,SDSS J000013.54+255418.6 [de]
362,SDSS J000013.54+255418.6 [de]
363,SDSS J000013.54+255418.6 [de]
364,SDSS J000013.54+255418.6 [de]
365,SDSS J000013.54+255418.6 [de]
366,SDSS J000013.54+255418.6 [de]
367,SDSS J000013.54+255418.6 [de]
368,SDSS J000013.54+255418.6 [de]
369,SDSS J000013.54+255418.6 [de]
370,SDSS J000013.54+255418.6 [de]
371,SDSS J000013.54+255418.6 [de]
372,SDSS J000013.54+255418.6 [de]
373,SDSS J000013.54+255418.6 [de]
374,SDSS J000013.54+255418.6 [de]
375,SDSS J000013.54+255418.6 [de]
376,SDSS J000013.54+255418.6 [de]
377,SDSS J000013.54+255418.6 [de]
378,SDSS J000013.54+255418.6 [de]
379,SDSS J000013.54+255418.6 [de]
380,SDSS J000013.54+255418.6 [de]
381,SDSS J000013.54+255418.6 [de]
382,SDSS J000013.54+255418.6 [de]
383,SDSS J000013.54+255418.6 [de]
384,SDSS J000013.54+255418.6 [de]
385,SDSS J000013.54+255418.6 [de]
386,SDSS J000013.54+255418.6 [de]
387,SDSS J000013.54+255418.6 [de]
388,SDSS J000013.54+255418.6 [de]
389,SDSS J000013.54+255418.6 [de]
390,SDSS J000013.54+255418.6 [de]
391,SDSS J000013.54+255418.6 [de]
392,SDSS J000013.54+255418.6 [de]
393,SDSS J000013.54+255418.6 [de]
394,SDSS J000013.54+255418.6 [de]
395,SDSS J000013.54+255418.6 [de]
396,SDSS J000013.54+255418.6 [de]
397,SDSS J000013.54+255418.6 [de]
398,SDSS J000013.54+255418.6 [de]
399,SDSS J000013.54+255418.6 [de]
400,SDSS J000013.54+255418.6 [de]
401,SDSS J000013.54+255418.6 [de]
402,SDSS J000013.54+255418.6 [de]
403,SDSS J000013.54+255418.6 [de]
404,SDSS J000013.54+255418.6 [de]
405,SDSS J000013.54+255418.6 [de]
406,SDSS J000013.54+255418.6 [de]
407,SDSS J000013.54+255418.6 [de]
408,SDSS J000013.54+255418.6 [de]
409,SDSS J000013.54+255418.6 [de]
410,SDSS J000013.54+255418.6 [de]
411,SDSS J000013.54+255418.6 [de]
412,SDSS J000013.54+255418.6 [de]
413,SDSS J000013.54+255418.6 [de]
414,SDSS J000013.54+255418.6 [de]
415,SDSS J000013.54+255418.6 [de]
416,SDSS J000013.54+255418.6 [de]
417,SDSS J000013.54+255418.6 [de]
418,SDSS J000013.54+255418.6 [de]
419,SDSS J000013.54+255418.6 [de]
420,SDSS J000013.54+255418.6 [de]
421,SDSS J000013.54+255418.6 [de]
422,SDSS J000013.54+255418.6 [de]
423,SDSS J000013.54+255418.6 [de]
424,SDSS J000013.54+255418.6 [de]
425,SDSS J000013.54+255418.6 [de]
426,SDSS J000013.54+255418.6 [de]
427,SDSS J000013.54+255418.6 [de]
428,SDSS J000013.54+255418.6 [de]
429,SDSS J000013.54+255418.6 [de]
430,SDSS J000013.54+255418.6 [de]
431,SDSS J000013.54+255418.6 [de]
432,SDSS J000013.54+255418.6 [de]
433,SDSS J000013.54+255418.6 [de]
434,SDSS J000013.54+255418.6 [de]
435,SDSS J000013.54+255418.6 [de]
436,SDSS J000013.54+255418.6 [de]
437,SDSS J000013.54+255418.6 [de]
438,SDSS J000013.54+255418.6 [de]
439,SDSS J000013.54+255418.6 [de]
440,SDSS J000013.54+255418.6 [de]
441,SDSS J000013.54+255418.6 [de]
442,SDSS J000013.54+255418.6 [de]
443,SDSS J000013.54+255418.6 [de]
444,SDSS J000013.54+255418.6 [de]
445,SDSS J000013.54+255418.6 [de]
446,SDSS J000013.54+255418.6 [de]
447,SDSS J000013.54+255418.6 [de]
448,SDSS J000013.54+255418.6 [de]
449,SDSS J000013.54+255418.6 [de]
450,SDSS J000013.54+255418.6 [de]
451,SDSS J000013.54+255418.6 [de]
452,SDSS J000013.54+255418.6 [de]
453,SDSS J000013.54+255418.6 [de]
454,SDSS J000013.54+255418.6 [de]
455,SDSS J000013.54+255418.6 [de]
456,SDSS J000013.54+255418.6 [de]
457,SDSS J000013.54+255418.6 [de]
458,SDSS J000013.54+255418.6 [de]
459,SDSS J000013.54+255418.6 [de]
460,SDSS J000013.54+255418.6 [de]
